Speaker,TimeAt,F1_mel,F2_mel,TRx,TRz,TBx,TBz,TTx,TTz,JAWx,JAWz,ULx,ULz,LLx,LLz
F01,0.5,611.2418296418323,1438.2054603056354,-50.810036600000004,-5.0962085437499995,-36.3783892,-1.3506531525,-18.66842185,-10.558184674999998,-11.4198966475,-12.907718449999999,8.2180761625,4.263438839999999,4.105831142249999,-25.424599399999998
F02,0.5,638.7162981583008,1441.4505911327685,-50.791516425000005,0.19020238000000006,-36.07845282500001,-0.2210439692499997,-17.88426695,-7.888675245,-5.393579995,-21.942138550000003,8.2630087925,5.245579242499999,6.637392039999999,-28.486650500000007
F03,0.5,713.4087099537744,1478.6940099124263,-44.37143995,-4.409191236499999,-27.867800575000008,-3.2026564942750007,-14.8073552625,-10.815905149999999,-5.866795075,-13.887581037500002,10.0789713,0.369257150965,11.248079199999998,-25.990443424999995
F04,0.5,669.512603181616,1427.758773326123,-44.74936817500001,1.5185159725000004,-27.634447025000004,-4.657558610999999,-16.54814045,-11.7100229425,-8.149872114999997,-12.696727349999996,8.708098920000001,6.138846107499999,6.2159310025000005,-29.118490875
M01,0.5,614.0636235083696,1392.288150237163,-39.832938424999995,-5.2790313015,-24.591968125,-10.0658443775,-15.533227799999997,-13.259948062500001,-8.991777724999999,-14.915543662499996,12.1673794,1.6562652800000002,11.694063637500001,-27.900667149999997
M02,0.5,585.2806284981338,1337.11256194254,-58.589997849999996,-6.219842835250001,-35.982847925,-1.2518033017500003,-13.508098462500001,-13.664978837500001,-8.660078204999998,-14.916456812500002,11.07142185,5.9153805,13.706996975,-27.590397450000005
M03,0.5,624.2393238637346,1413.883245528036,-50.12482932500001,1.4000327039,-32.8891696,0.02910696849999983,-16.002713649999997,-10.099287545000001,-11.062349570000004,-18.559174375000005,11.667039112500001,-1.8497537949999998,5.833741842500001,-28.584893700000002
M04,0.5,674.1467804783695,1406.070352953572,-42.174089075,-3.0709674850999997,-30.658797325000002,-3.9083306715,-18.840679674999997,-9.137367100000002,-3.6515345325000004,-13.637588837500001,11.3819743625,0.8202382918499997,8.09763139,-25.654546999999997
